"","Latitude","Longitude","Name"
"137",29.966583,-90.081099,"Greenway @ N Tonti"
"138",29.968755,-90.084262,"Greenway at N Broad"
"139",29.969045,-90.084697,"Greenway at N Broad"
"140",29.965478,-90.079441,"Greenway at North Galvez"
"141",29.965478,-90.079441,"Greenway at N Galvez"
"142",29.965313,-90.079184,"Galvez @ Greenway"
"143",29.965313,-90.079184,"Galvez @ Greenway"
"144",29.964677,-90.077093,"Greenway @ N Prieur"
"145",29.964677,-90.077093,"Greenway @ N Prieur"
"146",29.964249,-90.07615,"Greenway @ N Roman"
"147",29.964249,-90.07615,"Greenway @ N Roman"
"148",29.964249,-90.07615,"Greenway @ N Roman"
"149",29.963694,-90.075141,"Greenway @ N Derbigny"
"150",29.963694,-90.075141,"Greenway @ N Derbigny"
"151",29.963255,-90.07454,"Greenway @ N Claiborne"
"152",29.963255,-90.07454,"Greenway @ N Claiborne"
"153",29.962904,-90.074009,"Greenway @ Lemann Playground"
"154",29.962904,-90.074009,"Greenway @ Lemann Playground"
"155",29.963255,-90.07454,"Greenway @ N Claiborne"
"156",29.96198,-90.072295,"Greenway near N Villerie"
"157",29.96198,-90.072295,"Greenway near N Villerie"
"158",29.943219,-90.082538,"S. Liberty + MLK"
"159",29.943219,-90.082538,"S. Liberty + MLK"
"160",29.963086,-90.11288,"Carrollton @ Olive"
